sample_ID,Region,batch_ID,site,lat,long,blade_location,sample_wet_wt,sample_dry_wt,wet_minus_dry,moisture_content,sample_width,Total_As,Total_As_wet,Inorganic_As,iAs_wet,percent_iAs_to_totAs,Cd,Cd_wet,Hg,Hg_wet,Pb,Pb_wet,P,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Se,Sr,Mo,Ag,Tl
NORM_1T,GLH,batch_1,NORM,42.5789,-70.6936,top,9.51,0.981,8.5290,0.1032,10,52.0247,0.4666,0.0855,0.0008,0.1644,0.3717,0.0033,0.0399,0.0004,0.1276,0.0011,2732.7745,1.8877,0.1076,2.8337,36.1482,0.0741,0.3469,0.6551,17.4415,0.0437,776.3829,0.1486,0.0015,0.0005
NORM_2B,GLH,batch_1,NORM,42.5789,-70.6936,bottom,6.19,1.168,5.0220,0.1887,10,53.6492,0.4353,0.0746,0.0006,0.1390,0.3886,0.0032,0.0300,0.0002,0.1585,0.0013,2759.4100,2.2679,0.0997,3.0732,57.9109,0.0584,0.2120,0.8461,20.6903,0.0652,889.5458,0.1105,0.0077,0.0006
NORM_2T,GLH,batch_1,NORM,42.5789,-70.6936,top,6.93,0.284,6.6460,0.0410,10,45.3070,0.4345,0.1363,0.0013,0.3008,0.2823,0.0027,0.0595,0.0006,0.1800,0.0017,2669.2429,1.8142,0.1208,2.3972,51.8592,0.0570,0.2553,0.8376,19.2026,0.0349,702.1525,0.1165,0.0120,0.0035
NORM_3B,GLH,batch_1,NORM,42.5789,-70.6936,bottom,5.22,0.921,4.2990,0.1764,10,90.5192,0.7455,0.1086,0.0009,0.1200,1.8532,0.0153,0.0830,0.0007,0.1897,0.0016,3400.1004,2.1040,0.1177,2.8344,35.7433,0.0727,0.2162,1.7882,20.2495,0.0789,665.7495,0.2189,0.0061,0.0030
NORM_3T,GLH,batch_1,NORM,42.5789,-70.6936,top,7.20,1.236,5.9640,0.1717,10,39.0385,0.3234,0.0705,0.0006,0.1806,0.4193,0.0035,0.0325,0.0003,0.1969,0.0016,2301.4265,2.9219,0.1793,3.5319,60.6310,0.0857,0.6099,1.0048,17.5852,0.0558,1186.7660,0.4127,0.0138,0.0026
NORM_4B,GLH,batch_1,NORM,42.5789,-70.6936,bottom,4.57,0.670,3.9000,0.1466,10,79.6428,0.6797,0.1280,0.0011,0.1607,2.1143,0.0180,0.0746,0.0006,0.0650,0.0006,3725.1206,1.7919,0.0753,3.4562,38.0152,0.0691,0.1854,1.5841,18.2331,0.0418,723.9094,0.2228,0.0163,0.0043
NORM_4T,GLH,batch_1,NORM,42.5789,-70.6936,top,5.61,0.850,4.7600,0.1515,10,50.1175,0.4252,0.0753,0.0006,0.1502,0.8487,0.0072,0.2249,0.0019,0.1782,0.0015,2797.3147,4.1834,0.1428,4.3244,115.1254,0.0821,0.3149,1.0354,25.0628,0.0513,1457.3170,0.1689,0.0000,0.0290
NORM_5B,GLH,batch_1,NORM,42.5789,-70.6936,bottom,4.51,0.668,3.8420,0.1481,10,82.4997,0.7028,0.1558,0.0013,0.1889,1.7884,0.0152,0.0451,0.0004,0.0589,0.0005,3720.4142,2.1528,0.0845,3.9366,48.5744,0.0644,0.1488,1.5593,17.5652,0.0481,715.6400,0.1870,0.0103,0.0001
NORM_5T,GLH,batch_1,NORM,42.5789,-70.6936,top,4.40,0.771,3.6290,0.1752,10,49.1241,0.4052,0.0909,0.0007,0.1849,0.5162,0.0043,0.0984,0.0008,0.1535,0.0013,2937.2960,4.4322,0.1634,4.7873,114.7435,0.0918,0.3107,0.8886,25.4498,0.0828,1530.8770,0.1620,0.0036,0.0112
PIG_1B,MRBL,batch_2,PIG,42.4618,-70.8531,bottom,10.28,1.550,8.7300,0.1508,10,70.1473,0.5957,0.0574,0.0005,0.0818,1.6060,0.0136,0.0169,0.0001,0.1842,0.0016,2626.8276,1.9104,0.3476,3.9156,25.6703,0.0493,0.3214,2.0979,19.2071,0.0050,667.9738,0.1811,0.0120,0.0020
PIG_1T,MRBL,batch_1,PIG,42.4618,-70.8531,top,16.71,2.566,14.1440,0.1536,10,33.9169,0.2871,0.1567,0.0013,0.4621,0.2755,0.0023,0.0203,0.0002,0.4250,0.0036,1877.9305,3.5874,0.2135,4.7211,36.9450,0.0866,0.3366,2.5751,21.8639,0.0606,990.0585,0.1559,0.0164,0.0025
PIG_2B,MRBL,batch_1,PIG,42.4618,-70.8531,bottom,13.44,2.522,10.9180,0.1876,10,56.6687,0.4603,0.1175,0.0010,0.2074,1.2178,0.0099,0.0202,0.0002,0.4898,0.0040,2898.5164,1.7404,0.1639,3.7130,31.2285,0.0699,0.1892,1.3428,22.9476,0.0197,491.9484,0.1206,0.0339,0.0016
PIG_2T,MRBL,batch_1,PIG,42.4618,-70.8531,top,9.22,2.880,6.3400,0.3124,6,53.9681,0.3711,0.1198,0.0008,0.2220,0.6538,0.0045,0.0402,0.0003,0.2551,0.0018,3280.1325,1.6435,0.5313,4.5360,46.4039,0.1094,0.3783,1.8549,23.8837,0.0877,933.5344,0.1692,0.0287,0.0032
RAM_1B,MRBL,batch_1,RAM,42.4752,-70.8613,bottom,16.40,2.320,14.0800,0.1415,6,60.7189,0.5213,0.0641,0.0006,0.1056,1.5549,0.0133,0.0123,0.0001,0.2519,0.0022,2873.4694,1.5401,0.1340,3.0629,29.3214,0.0603,0.1084,1.1074,28.9330,0.0342,497.7003,0.1283,0.0217,0.0012
RAM_1T,MRBL,batch_2,RAM,42.4752,-70.8613,top,13.42,2.571,10.8490,0.1916,8,49.8324,0.4029,0.1355,0.0011,0.2719,0.4039,0.0033,0.0290,0.0002,0.3831,0.0031,2577.2894,2.7371,3.2753,5.2157,84.4736,0.1199,2.7356,1.0566,29.7162,0.1086,938.8450,0.4802,0.0176,0.0067
RAM_2B,MRBL,batch_2,RAM,42.4752,-70.8613,bottom,11.81,1.555,10.2550,0.1317,10,94.5221,0.8208,0.0695,0.0006,0.0736,3.0415,0.0264,0.0194,0.0002,0.4676,0.0041,3780.9879,1.1866,0.1554,4.1756,32.8425,0.0572,0.2103,2.0013,32.5293,0.0183,551.3206,0.2148,0.0544,0.0024
RAM_2T,MRBL,batch_1,RAM,42.4752,-70.8613,top,16.11,2.413,13.6970,0.1498,10,54.3417,0.4620,0.2915,0.0025,0.5364,0.6526,0.0055,0.0519,0.0004,0.5356,0.0046,4463.6617,2.4288,0.7529,5.8258,102.5441,0.1083,0.3913,1.3390,27.2797,0.4169,761.1078,0.1811,0.0339,0.0059
RAM_3B,MRBL,batch_1,RAM,42.4752,-70.8613,bottom,11.31,1.535,9.7750,0.1357,6,72.7558,0.6288,0.1453,0.0013,0.1997,1.4773,0.0128,0.0207,0.0002,0.4571,0.0040,4363.9436,0.7888,0.1419,4.4381,25.3707,0.0470,0.2067,1.8561,36.3340,0.0629,460.2212,0.2001,0.0239,0.0004
RAM_3T,MRBL,batch_1,RAM,42.4752,-70.8613,top,13.85,1.720,12.1300,0.1242,10,35.4448,0.3104,0.1886,0.0017,0.5321,0.3025,0.0026,0.0879,0.0008,1.1335,0.0099,3365.8024,2.3923,0.3973,5.9235,124.3325,0.0870,0.5225,3.2727,32.8184,0.1819,1199.1329,0.1833,0.0290,0.0068
RAM_4B,MRBL,batch_2,RAM,42.4752,-70.8613,bottom,8.29,1.302,6.9880,0.1571,5,74.6913,0.6296,0.0663,0.0006,0.0888,1.4466,0.0122,0.0287,0.0002,0.1519,0.0013,3391.9704,3.1597,0.2113,3.8757,56.8661,0.0868,0.1839,1.2267,21.9699,0.0504,538.8714,0.1413,0.0146,0.0030
RAM_4T,MRBL,batch_2,RAM,42.4752,-70.8613,top,15.10,2.297,12.8030,0.1521,8,53.5814,0.4543,0.1351,0.0011,0.2521,0.5857,0.0050,0.0236,0.0002,1.9506,0.0165,2977.6805,3.3220,0.3401,4.8749,87.8418,0.1196,0.3337,1.0724,26.6468,0.1051,1060.9241,0.1703,0.0035,0.0052
RAM_5B,MRBL,batch_2,RAM,42.4752,-70.8613,bottom,11.09,1.336,9.7540,0.1205,8,98.2133,0.8638,0.0615,0.0005,0.0626,2.2830,0.0201,0.0159,0.0001,0.9922,0.0087,3985.2449,1.3515,0.1183,3.4412,25.3578,0.0752,0.1181,1.7558,14.5675,-0.0285,498.7654,0.1906,0.0072,0.0026
RAM_5T,MRBL,batch_2,RAM,42.4752,-70.8613,top,9.25,1.467,7.7830,0.1586,8,44.4703,0.3742,0.1777,0.0015,0.3995,0.4489,0.0038,0.0324,0.0003,0.6521,0.0055,3571.4402,4.2611,0.3724,6.7707,136.2105,0.1239,0.4216,1.2813,31.7515,0.2961,1314.4625,0.1887,0.0034,0.0086
FARM1,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,34.1249,na,na,na,na,0.9640,na,0.0335,na,1.8054,na,3241.7697,1.2125,1.0363,12.0444,194.8654,0.1143,0.8252,4.9124,30.3238,0.2221,na,0.2131,na,0.0031
FARM1,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,31.4995,na,na,na,na,0.7345,na,0.0276,na,0.5124,na,3041.8236,1.2253,1.1336,10.6741,427.9537,0.1158,0.7196,3.3946,26.4658,0.0666,na,0.2233,na,0.0018
FARM1,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,32.1098,na,na,na,na,0.7148,na,0.0271,na,1.0594,na,3186.3107,1.2264,1.2190,8.4617,210.7705,0.1142,0.6768,3.9226,25.6787,0.1191,na,0.2105,na,0.0032
FARM1,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,27.9753,na,na,na,na,0.7003,na,0.0330,na,1.3486,na,2898.4926,1.7274,1.3881,14.7052,647.4466,0.2088,1.1167,5.1442,41.3572,0.1908,na,0.2278,na,0.0047
FARM1,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,31.4255,na,na,na,na,0.6854,na,0.0356,na,1.6302,na,3159.0342,2.2815,1.6692,16.9677,903.2892,0.2326,1.1804,3.7528,66.8522,0.1412,na,0.2567,na,0.0072
FARM1,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,33.0239,na,0.0003,na,0.0009,1.0078,na,0.0247,na,0.5000,na,3167.1045,1.6834,0.9968,11.9097,367.2004,0.1605,1.1663,2.7871,25.6783,0.1367,na,0.2223,na,0.0051
FARM2,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,32.5383,na,0.0003,na,0.0009,0.6154,na,0.0654,na,0.4472,na,4404.2516,1.1067,0.4824,6.1429,131.4751,0.0556,0.2069,0.9960,29.1500,0.1602,na,0.1987,na,0.0022
FARM2,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,29.4572,na,na,na,na,0.7433,na,0.0938,na,0.9837,na,4519.6922,1.2375,0.5756,8.7879,163.4364,0.1342,0.7394,5.3065,41.1714,0.4047,na,0.2582,na,0.0030
FARM2,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,30.9563,na,na,na,na,0.5933,na,0.0971,na,0.3697,na,4334.2120,1.1843,0.4074,6.9832,138.7524,0.0933,0.5110,7.7159,41.1629,0.1689,na,0.2336,na,0.0034
FARM2,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,34.4480,na,na,na,na,0.7250,na,0.0757,na,0.5861,na,4597.6800,1.3649,0.4637,8.6308,317.7527,0.0854,0.5918,5.2072,71.1896,0.2430,na,0.2505,na,0.0032
FARM2,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,28.4628,na,na,na,na,0.6066,na,0.0695,na,0.1948,na,4123.4938,0.9936,0.3621,5.6822,114.3770,0.0781,0.3238,2.6620,25.6010,0.1672,na,0.1938,na,0.0018
FARM2,SFARM,batch_0,SFARM,na,-70.7084,mid,na,na,na,na,10,31.5000,na,na,na,na,0.4977,na,0.0371,na,0.3444,na,4197.1894,1.2104,0.5010,6.5269,154.3368,0.0964,0.8662,5.6275,36.3639,0.1206,na,0.2565,na,0.0019
TKR_1B,MRBL,batch_2,TKR,42.4812,-70.8334,bottom,8.09,1.006,7.0840,0.1244,12,70.9618,0.6214,0.0537,0.0005,0.0756,2.7092,0.0237,0.0182,0.0002,0.2089,0.0018,4208.0111,0.6651,0.1262,3.7540,28.2890,0.0714,0.2075,1.5365,31.5686,0.0170,547.5731,0.2549,0.0365,0.0023
